temperature,humidity,timestamp
31.58,25.60,12/17/2019 15:01:19
31.59,25.54,12/17/2019 15:02:19
31.63,22.94,12/17/2019 15:03:19
31.58,25.44,12/17/2019 15:04:19
31.72,25.51,12/17/2019 15:05:19
31.58,25.36,12/17/2019 15:06:19
31.67,25.72,12/17/2019 15:07:19
31.74,25.47,12/17/2019 15:08:19
31.41,25.89,12/17/2019 15:09:19
